rating,content
5,I began using Quicken in the DOS version.  It has helped me organize all aspects of my financial life.  Ease of use and customizing its capability to suit the way I want and helping to achieve goals in life are outstanding.  It helped to place me in the top 2% of net worth individuals in the U.S.  A godsend.
5,answered all my questions and were friendly
1,it is impossible for me to update my current version.  Somehow my computer cannot connect to your server.  Your tech staff cannot resolve this issue.
5,"easy to use, organize, and store years of data"
1,Forced subscription is wrong. Let me just buy the program and use it.
4,"I have been using Quicken for many years and just updated my accounts within minutes this morning. I like it's easy of use and reporting capabilities. Although, I don't like the annual subscription."
5,Your customer support.  Always there and always so helpful.
3,I have loved Quicken for more than 35 Years!!!BUT...Recent versions of Quicken do not download from Schwab credit card accounts accurately!! And do not download from Chase investment accounts accurately!! This is becoming painful: please call me at 703-282-5774. Thanks!
1,Product is completely overpriced
5,Easy to use;  Reports are many and helps me realize how I am spending my money
5,Helps me keep organized with both mine and my family's finances
3,"My wife and I like the program but it is way too expensive, the yearly license. We are retired and on a fixed income and I see no reason why the program is as costly as it is."
5,"I've been using Quicken to manage my consulting practice in addition to my personal financial management over the past year and it's great to have it all integrated. Good choice for a business that is uncomplicated, as mine is."
5,I've been using Quicken for 40 years. There is no better way to manage your finances then Quicken
4,Great aid fot keeping track of ones finances!  Unfortunately there are bugs in the Quicken program.  After a update I can no longer create Income and  Expense reports and  Quicken support doesn't seem to be able to fix the issue.
4,We use Quicken and then import into Turbo Tax. I understand that the current tax schedule selections in Quicken match the IRS forms. But I wish there was an option to match Turbo Tax instead.
5,Ease of use and able to get what I need
5,"Easy to use, like storage in cloud."
5,I have used Quicken for years and find it really easy to use. I check it daily and it seamlessly uploads all my banking transactions. I would recommend it to anyone
4,It is a lot more friendly that earlier versions
5,Easy to use.
2,"When this becomes a cloud solution, it will be worth it"
5,Quicken does everything I need it to do.
1,"I specifically asked if I could use the program without the membership.  Customer service told me yes, that I can only not sync with my bank account.  Not true.  I can't even enter a bill that I had already created.  It's ridiculous, I paid for the program years ago and own it.  I don't need it connecting to anything. Forced into the membership."
5,It works.  It is very intuitive to use and very forgiving.  My financial world would be impossible to manage without it.
5,I've been useing Quicken for more than 20 year and I don't think I could live with out it.Quicken is very user friendly and it just keeps getting better each year. The folks at Quicken work hard in keeping up with todays banking needs to keep my Quicken ruuning smooth. I love all the features of quicken as I use most all of them.Thank you Quicken.
5,Im a long time user of Quicken and appreciate all our finances in one place. Over the years occasional hone support has been very helpful.Lately  several of our accounts in Quicken have to be re-connected to the institute repeatedly. A little frustrating but not anything major.
3,
2,"In my computer is not working well, all the time consider mi like new in the Quicken"
5,I rely on Quicken for planning my monthly budget. Setting up expenses and income is essential. Been using Quicken for over 20 years.
4,I don't like the new opening screen.  I always have a log out and back in to get to classic.
2,"Quicken is merging different accounts when it shouldn't. You must be using AI or something that is putting transactions into the wrong accounts, ones that aren't even related or at the same financial institution. It often causes several hours of corrections to get the accounts to balance properly. Transactions sometimes disappear and are impossible to trace. Sadly, this software still seems to have most of the features that our household needs and will use it until we can find a better one."
4,
5,I have been using Quicken for more than 20 years and it never fails.
2,"Ever since Quicken became a subscription to me in March 2023, my program has not performed properly.  I tried tech support and the women who tried to assist was unable to solve the problem.  She said ""sorry"" and hung up. her foreign accent was not easily understood. I feel tech support is worthless."
5,I love it all. It is especially helpful for monthly reconciliation of my accounts. I’ve used Quicken since 1988 (as best I remember) so I am faithful. Never even considered a change. Love it!!!
5,"I love quicken it is easy to use, user friendly in every way. For those you are not accountant or blessed with being so good with numbers it takes a step-by-step to take care of business much needed."
1,Expensive.
5,I have been using Quicken for Mac since the early 90s.  The best and most important feature is the data integrity.
5,Have been using Quicken for many years.  Would be lost without it.  Quicken is my mainstay.
5,I have used Quicken for many years.  It gives me exactly what I need to manage my finances and taxes.  It's been a rock.
1,They never fixed the ****** in the balance of my manual AE account.
3,Will not update my Schwab accounts. Keeps showing error. Frustrating.
2,I can't seem to get my accounts to synch up so they just stay the same instead of showing me latest figures.
3,"The app frequently chooses to not recognize my sign in password. It’s almost as if I have limited sign ins. Very, very frustrating."
3,
5,"I have been using the program for over 20 years and it makes it so easy for me to keep a monthly handle on my finances. I have my own creative way to use the accounts feature for what I call budgeting ""buckets"" each month, and I don't know what I would do without it!! Keep up the good work improving this wonderful product!"
2,"With the update tool, Quicken used to pull info entered into Bank of America bill pay and enter that into the check register. For some reason it quit that update feature and now one must repeat those entries into Quicken for each bill paid.  What happened?"
4,Good budgeting app but option exercise and sales are not calculated correctly.
5,I've been using Quicken for over 20 years. Love it! You can customize reports anyway you want to see where your money went.
5,"I've been using Quicken for YEARS, and it does everything I need it to do and more.  I can't imagine keeping track of my finances without it."
5,"I have been using Quicken since 1993.  I think it is one of the best personal financial management software on the market.  This software makes it very easy to create budgets, track finances, and establish reports for various categories and events."
5,I have been using Quicken for many years.  It is easy to use and it helps me keep my accounts in order.
5,it's very easy to keep track of your expenses.
3,"Have had a lot of issues. One was when I paid the mortgage, it would show I didn't pay it. One problem lost all of my pay breakdowns, taxes etc. My checking account was off by $13,000. Never fixed it."
2,"Many errors and bugs overall, good concept but very good, frustrating to you"
5,"Couldn't live without it!I have been using Quicken on my Mac for 30 years or so. I tried using the online version and it seemed too slow, clunky, and the graphic elements were too large. My desktop version has come a long way and I use it every day to track bills. I have automatic entries for months in advance so I can project when I need to transfer funds to pay for something unexpected.  KEEP IT UP!!"
2,Been disappointed that Quicken is now an annual subscription...looking to change products.
